date,week,month,year,season,is_holiday,promo_event,promo_flag_calendar
2011-02-11,6,2,2011,Winter,0,,0
2011-02-12,6,2,2011,Winter,0,,0
2011-02-13,6,2,2011,Winter,0,,0
2011-02-14,7,2,2011,Winter,0,,0
2011-02-15,7,2,2011,Winter,0,,0
2011-02-16,7,2,2011,Winter,0,,0
2011-02-17,7,2,2011,Winter,0,,0
2011-02-18,7,2,2011,Winter,0,,0
2011-02-19,7,2,2011,Winter,0,,0
2011-02-20,7,2,2011,Winter,0,,0
2011-02-21,8,2,2011,Winter,0,,0
2011-02-22,8,2,2011,Winter,0,,0
2011-02-23,8,2,2011,Winter,0,,0
2011-02-24,8,2,2011,Winter,0,,0
2011-02-25,8,2,2011,Winter,0,,0
2011-02-26,8,2,2011,Winter,0,,0
2011-02-27,8,2,2011,Winter,0,,0
2011-02-28,9,2,2011,Winter,0,,0
2011-03-01,9,3,2011,Spring,0,,0
2011-03-02,9,3,2011,Spring,0,,0
2011-03-03,9,3,2011,Spring,0,,0
2011-03-04,9,3,2011,Spring,0,,0
2011-03-05,9,3,2011,Spring,0,,0
2011-03-06,9,3,2011,Spring,0,,0
2011-03-07,10,3,2011,Spring,0,,0
2011-03-08,10,3,2011,Spring,0,,0
2011-03-09,10,3,2011,Spring,0,,0
2011-03-10,10,3,2011,Spring,0,,0
2011-03-11,10,3,2011,Spring,0,,0
2011-03-12,10,3,2011,Spring,0,,0
2011-03-13,10,3,2011,Spring,0,,0
2011-03-14,11,3,2011,Spring,0,,0
2011-03-15,11,3,2011,Spring,0,,0
2011-03-16,11,3,2011,Spring,0,,0
2011-03-17,11,3,2011,Spring,0,,0
2011-03-18,11,3,2011,Spring,0,,0
2011-03-19,11,3,2011,Spring,0,,0
2011-03-20,11,3,2011,Spring,0,,0
2011-03-21,12,3,2011,Spring,0,,0
2011-03-22,12,3,2011,Spring,0,,0
2011-03-23,12,3,2011,Spring,0,,0
2011-03-24,12,3,2011,Spring,0,,0
2011-03-25,12,3,2011,Spring,0,,0
2011-03-26,12,3,2011,Spring,0,,0
2011-03-27,12,3,2011,Spring,0,,0
2011-03-28,13,3,2011,Spring,0,,0
2011-03-29,13,3,2011,Spring,0,,0
2011-03-30,13,3,2011,Spring,0,,0
2011-03-31,13,3,2011,Spring,0,,0
2011-04-01,13,4,2011,Spring,0,,0
2011-04-02,13,4,2011,Spring,0,,0
2011-04-03,13,4,2011,Spring,0,,0
2011-04-04,14,4,2011,Spring,0,,0
2011-04-05,14,4,2011,Spring,0,,0
2011-04-06,14,4,2011,Spring,0,,0
2011-04-07,14,4,2011,Spring,0,,0
